iter	Passed	Remaining
0	172	171922
1	173	86586
2	175	58289
3	176	44002
4	177	35378
5	178	29610
6	180	25537
7	181	22445
8	181	20034
9	182	18107
10	183	16530
11	185	15272
12	187	14198
13	188	13257
14	189	12440
15	191	11773
16	192	11132
17	193	10554
18	194	10038
19	195	9574
20	196	9155
21	197	8773
22	198	8430
23	199	8122
24	201	7845
25	202	7581
26	203	7339
27	204	7104
28	205	6883
29	206	6677
30	207	6484
31	208	6304
32	209	6134
33	210	5975
34	211	5834
35	213	5705
36	214	5580
37	215	5463
38	216	5345
39	217	5231
40	218	5121
41	219	5016
42	220	4918
43	221	4822
44	222	4729
45	223	4643
46	224	4559
47	225	4477
48	227	4406
49	228	4339
50	229	4274
51	230	4210
52	231	4145
53	232	4081
54	233	4019
55	234	3960
56	235	3902
57	236	3846
58	238	3797
59	239	3745
60	239	3694
61	241	3652
62	242	3613
63	244	3569
64	245	3530
65	246	3486
66	247	3444
67	247	3397
68	248	3357
69	249	3317
70	250	3280
71	251	3244
72	252	3208
73	253	3173
74	254	3139
75	257	3125
76	258	3099
77	259	3069
78	261	3043
79	261	3012
80	262	2983
81	263	2953
82	264	2925
83	265	2897
84	266	2868
85	267	2844
86	268	2815
87	269	2793
88	270	2773
89	272	2754
90	273	2732
91	274	2711
92	275	2688
93	276	2665
94	277	2643
95	278	2621
96	279	2600
97	280	2579
98	281	2559
99	282	2539
100	283	2519
101	283	2497
102	285	2486
103	287	2473
104	288	2456
105	289	2441
106	290	2423
107	291	2406
108	292	2390
109	293	2375
110	294	2358
111	295	2342
112	296	2326
113	297	2310
114	298	2295
115	299	2282
116	300	2271
117	303	2264
118	304	2250
119	305	2240
120	306	2227
121	307	2213
122	308	2196
123	309	2183
124	310	2170
125	310	2156
126	311	2143
127	312	2128
128	313	2115
129	314	2106
130	316	2097
131	317	2087
132	318	2076
133	319	2065
134	320	2054
135	321	2042
136	322	2031
137	323	2019
138	324	2008
139	325	1997
140	326	1986
141	326	1975
142	328	1967
143	330	1966
144	332	1959
145	333	1952
146	334	1943
147	336	1936
148	337	1928
149	338	1919
150	340	1913
151	342	1909
152	344	1909
153	346	1904
154	347	1895
155	349	1888
156	350	1879
157	350	1870
158	351	1861
159	352	1852
160	353	1843
161	354	1834
162	355	1825
163	356	1817
164	357	1808
165	359	1805
166	360	1799
167	361	1792
168	363	1786
169	364	1778
170	365	1770
171	366	1762
172	367	1754
173	367	1746
174	368	1738
175	369	1731
176	370	1723
177	371	1716
178	372	1709
179	374	1705
180	375	1698
181	376	1692
182	378	1687
183	379	1681
184	380	1675
185	381	1668
186	382	1661
187	383	1655
188	384	1649
189	385	1644
190	386	1638
191	388	1634
192	389	1630
193	391	1625
194	392	1620
195	393	1615
196	394	1609
197	395	1602
198	396	1596
199	397	1590
200	398	1584
201	399	1578
202	400	1571
203	401	1566
204	402	1560
205	403	1556
206	405	1552
207	406	1547
208	407	1543
209	408	1537
210	409	1531
211	410	1526
212	411	1520
213	412	1514
214	413	1509
215	414	1505
216	416	1501
217	417	1497
218	418	1493
219	420	1491
220	421	1487
221	423	1482
222	423	1477
223	425	1472
224	426	1468
225	427	1463
226	428	1458
227	429	1453
228	430	1447
229	431	1442
230	432	1439
231	433	1435
232	434	1431
233	435	1426
234	437	1422
235	438	1418
236	439	1416
237	441	1412
238	442	1409
239	443	1405
240	444	1400
241	445	1396
242	446	1392
243	447	1387
244	448	1382
245	449	1378
246	450	1373
247	451	1369
248	453	1367
249	454	1362
250	455	1358
251	456	1353
252	457	1349
253	457	1345
254	458	1340
255	459	1336
256	460	1332
257	462	1329
258	463	1324
259	464	1320
260	464	1316
261	465	1312
262	466	1307
263	467	1303
264	468	1299
